concentration,time to catastrophe (s)
12 uM,350.0
12 uM,351.131
12 uM,351.131
12 uM,351.131
12 uM,353.694
12 uM,355.0
12 uM,355.0
12 uM,355.0
12 uM,355.0
12 uM,355.0
12 uM,355.0
12 uM,355.0
12 uM,355.0
12 uM,356.259
12 uM,358.65
12 uM,358.82
12 uM,360.0
12 uM,360.0
12 uM,360.0
12 uM,360.0
12 uM,360.0
12 uM,360.0
12 uM,363.432
12 uM,365.0
12 uM,365.0
12 uM,365.0
12 uM,365.0
12 uM,365.0
12 uM,365.0
12 uM,365.0
12 uM,365.0
12 uM,365.823
12 uM,366.509
12 uM,366.509
12 uM,369.072
12 uM,369.072
12 uM,370.0
12 uM,370.0
12 uM,370.0
12 uM,370.0
12 uM,370.0
12 uM,370.605
12 uM,370.605
12 uM,371.635
12 uM,374.198
12 uM,375.0
12 uM,375.0
12 uM,375.0
12 uM,375.0
12 uM,376.761
12 uM,376.761
12 uM,377.778
12 uM,380.0
12 uM,380.0
12 uM,380.0
12 uM,380.0
12 uM,380.169
12 uM,381.887
12 uM,384.45
12 uM,384.45
12 uM,385.0
12 uM,385.0
12 uM,385.0
12 uM,385.0
12 uM,390.0
12 uM,390.0
12 uM,390.0
12 uM,390.0
12 uM,390.0
12 uM,392.124
12 uM,395.0
12 uM,395.0
12 uM,395.0
12 uM,395.0
12 uM,399.828
12 uM,399.828
12 uM,399.828
12 uM,400.0
12 uM,402.391
12 uM,405.0
12 uM,405.0
12 uM,405.0
12 uM,406.47
12 uM,406.47
12 uM,410.0
12 uM,410.0
12 uM,410.0
12 uM,410.0
12 uM,410.0
12 uM,410.0
12 uM,412.643
12 uM,415.0
12 uM,415.206
12 uM,415.206
12 uM,415.206
12 uM,415.206
12 uM,416.034
12 uM,417.769
12 uM,420.0
12 uM,420.0
12 uM,420.0
12 uM,420.332
12 uM,420.332
12 uM,422.895
12 uM,425.0
